Gorai.001G000100.1	GO:0016429, GO:0030488
Gorai.001G000300.1	GO:0016772, GO:0006388
Gorai.001G000400.1	GO:0008375, GO:0016020
Gorai.001G000500.1	GO:0004540, GO:0008033
Gorai.001G000600.1	GO:0003700, GO:0043565, GO:0046983, GO:0006355
Gorai.001G000900.1	GO:0004672, GO:0005524, GO:0006468
Gorai.001G001000.1	GO:0008168
Gorai.001G001100.1	GO:0008168, GO:0005737
Gorai.001G001200.1	GO:0004672, GO:0005524, GO:0006468
Gorai.001G001300.1	GO:0000166, GO:0004812, GO:0005524, GO:0006418, GO:0005737
Gorai.001G001700.1	GO:0005515
Gorai.001G001800.1	GO:0004601, GO:0020037, GO:0006979, GO:0055114
Gorai.001G002200.1	GO:0003700, GO:0043565, GO:0006355
Gorai.001G002500.1	GO:0004672, GO:0005524, GO:0006468
Gorai.001G002600.1	GO:0005506, GO:0009055, GO:0016705, GO:0020037, GO:0055114
Gorai.001G002700.1	GO:0005515, GO:0005216, GO:0006811, GO:0055085, GO:0016020
Gorai.001G002800.1	GO:0003677
Gorai.001G003100.1	GO:0005524, GO:0016887, GO:0016020
Gorai.001G003200.1	GO:0004672, GO:0005524, GO:0006468, GO:0005515, GO:0003677, GO:0006355, GO:0005634
Gorai.001G003300.1	GO:0016790, GO:0006633
Gorai.001G003700.1	GO:0003824, GO:0008152
Gorai.001G003800.1	GO:0046872, GO:0030001
Gorai.001G003900.1	GO:0016020
Gorai.001G004100.1	GO:0005215, GO:0006810, GO:0055085, GO:0016021
Gorai.001G004300.1	GO:0016491, GO:0008152, GO:0055114
Gorai.001G004400.1	GO:0016491, GO:0008152, GO:0055114
Gorai.001G005000.1	GO:0003924, GO:0005525, GO:0007264, GO:0005634, GO:0005737, GO:0005622
Gorai.001G005600.1	GO:0005524, GO:0005515
Gorai.001G005700.1	GO:0004672, GO:0005524, GO:0006468
Gorai.001G006000.1	GO:0005089
Gorai.001G006200.1	GO:0005524
Gorai.001G006400.1	GO:0003824, GO:0008152, GO:0003857, GO:0016491, GO:0006631, GO:0055114
Gorai.001G006600.1	GO:0004672, GO:0005524, GO:0006468
Gorai.001G006700.1	GO:0003824, GO:0009116
Gorai.001G006900.1	GO:0003677, GO:0003899, GO:0006351
Gorai.001G007100.1	GO:0016491, GO:0055114
Gorai.001G007200.1	GO:0003677, GO:0003899, GO:0006351, GO:0005634
Gorai.001G007400.1	GO:0004672, GO:0005524, GO:0006468
Gorai.001G007500.1	GO:0008176, GO:0006400, GO:0008168, GO:0008152
Gorai.001G007600.1	GO:0004672, GO:0005524, GO:0006468, GO:0003824
Gorai.001G007800.1	GO:0022857, GO:0055085, GO:0016021
Gorai.001G007900.1	GO:0016020
Gorai.001G008000.1	GO:0008374, GO:0006629
Gorai.001G008100.1	GO:0003700, GO:0006355
Gorai.001G008400.1	GO:0003676, GO:0005524, GO:0008026, GO:0004386
Gorai.001G008800.1	GO:0003968
Gorai.001G008900.1	GO:0016616, GO:0055114, GO:0051287
Gorai.001G009000.1	GO:0015299, GO:0006812, GO:0055085, GO:0016021
Gorai.001G009200.1	GO:0015238, GO:0015297, GO:0006855, GO:0055085, GO:0016020
Gorai.001G009300.1	GO:0005515
Gorai.001G009400.1	GO:0030599, GO:0042545, GO:0005618
Gorai.001G009700.1	GO:0004672, GO:0005524, GO:0006468
Gorai.001G009900.1	GO:0003676, GO:0008270
Gorai.001G010000.1	GO:0003677
Gorai.001G010100.1	GO:0003723, GO:0008173, GO:0006396, GO:0008168
Gorai.001G010300.1	GO:0015031
Gorai.001G010600.1	GO:0015078, GO:0015986, GO:0000276
Gorai.001G010700.1	GO:0016740, GO:0030170, GO:0009058
Gorai.001G011100.1	GO:0016491, GO:0016706, GO:0055114
Gorai.001G011200.1	GO:0016021
Gorai.001G011300.1	GO:0005515
Gorai.001G011600.1	GO:0004553, GO:0005975, GO:0004565, GO:0009341
Gorai.001G011800.1	GO:0016491, GO:0055114
Gorai.001G012000.1	GO:0004672, GO:0005524, GO:0006468
Gorai.001G012200.1	GO:0003743, GO:0006413
Gorai.001G012300.1	GO:0008762, GO:0016491, GO:0050660, GO:0055114, GO:0019139, GO:0009690
Gorai.001G012500.1	GO:0006334, GO:0005634
Gorai.001G012700.1	GO:0003700, GO:0043565, GO:0006355, GO:0005634
Gorai.001G012900.1	GO:0016705, GO:0016117, GO:0016491, GO:0055114
Gorai.001G013000.1	GO:0003677, GO:0006334, GO:0000786, GO:0005634
Gorai.001G013300.1	GO:0004672, GO:0005524, GO:0006468
Gorai.001G013500.1	GO:0003824
Gorai.001G013600.1	GO:0004672, GO:0005524, GO:0006468
Gorai.001G014000.1	GO:0005515
Gorai.001G014100.1	GO:0003774, GO:0005524, GO:0016459, GO:0005515
Gorai.001G014200.1	GO:0003700, GO:0006355, GO:0005634
Gorai.001G014300.1	GO:0015031
Gorai.001G014500.1	GO:0015979, GO:0009523, GO:0016020
Gorai.001G014700.1	GO:0003735, GO:0006412, GO:0005622, GO:0005840, GO:0003723
Gorai.001G014900.1	GO:0000062
Gorai.001G015200.1	GO:0003677
Gorai.001G015300.1	GO:0005515
Gorai.001G015400.1	GO:0045735
Gorai.001G015800.1	GO:0044237
Gorai.001G016000.1	GO:0005515
Gorai.001G016300.1	GO:0004672, GO:0005524, GO:0006468, GO:0005515
Gorai.001G016500.1	GO:0004650, GO:0005975
Gorai.001G016600.1	GO:0003676
Gorai.001G016800.1	GO:0003700, GO:0006355
Gorai.001G016900.1	GO:0006457, GO:0005737
Gorai.001G017000.1	GO:0006355, GO:0005634, GO:0003677, GO:0009725
Gorai.001G017200.1	GO:0004857, GO:0030599
Gorai.001G017400.1	GO:0005506, GO:0009055, GO:0016491, GO:0050660, GO:0016021, GO:0055114, GO:0004601, GO:0050664
Gorai.001G017700.1	GO:0009058, GO:0005985
Gorai.001G017800.1	GO:0042578
Gorai.001G018000.1	GO:0003677, GO:0005622
Gorai.001G018100.1	GO:0005524, GO:0044267, GO:0046872, GO:0016307, GO:0046488
Gorai.001G018200.1	GO:0030599, GO:0042545, GO:0005618, GO:0004857
Gorai.001G018300.1	GO:0030599, GO:0042545, GO:0005618, GO:0004857
Gorai.001G018400.1	GO:0016791
Gorai.001G018700.1	GO:0005086, GO:0032012, GO:0005622
Gorai.001G018800.1	GO:0005515
Gorai.001G018900.1	GO:0016020
Gorai.001G019100.1	GO:0003700, GO:0006355
Gorai.001G019200.1	GO:0005622
Gorai.001G019400.1	GO:0005375, GO:0035434, GO:0016021
Gorai.001G019500.1	GO:0004672, GO:0005524, GO:0006468
Gorai.001G019600.1	GO:0016872, GO:0042398
Gorai.001G019800.1	GO:0004672, GO:0005524, GO:0006468, GO:0005515
Gorai.001G019900.1	GO:0016020
Gorai.001G020200.1	GO:0005515
Gorai.001G020400.1	GO:0003677
Gorai.001G020500.1	GO:0003677
Gorai.001G020600.1	GO:0003677
Gorai.001G020900.1	GO:0055085, GO:0016020
Gorai.001G021100.1	GO:0016810, GO:0006807
Gorai.001G021300.1	GO:0005515
Gorai.001G021500.1	GO:0003700, GO:0043565, GO:0006355
Gorai.001G021800.1	GO:0008237, GO:0008270
Gorai.001G022200.1	GO:0005524, GO:0004222, GO:0006508, GO:0009378, GO:0006281, GO:0006310, GO:0003678, GO:0016887
Gorai.001G022300.1	GO:0005515
Gorai.001G022500.1	GO:0016020
Gorai.001G022800.1	GO:0004672, GO:0005524, GO:0006468
Gorai.001G023000.1	GO:0006952, GO:0009607
Gorai.001G023100.1	GO:0003700, GO:0043565, GO:0006355
Gorai.001G023300.1	GO:0005515
Gorai.001G023500.1	GO:0008137, GO:0048038, GO:0051539, GO:0055114
Gorai.001G023700.1	GO:0004197, GO:0006508
Gorai.001G024200.1	GO:0006952, GO:0009607
Gorai.001G024300.1	GO:0003677
Gorai.001G024400.1	GO:0003676, GO:0008270
Gorai.001G024500.1	GO:0006450
Gorai.001G024800.1	GO:0012511, GO:0016021
Gorai.001G024900.1	GO:0004672, GO:0005524, GO:0006468
Gorai.001G025000.1	GO:0003872, GO:0006096, GO:0005945
Gorai.001G025300.1	GO:0003779, GO:0007010, GO:0015629
Gorai.001G025700.1	GO:0016779, GO:0003723, GO:0004652, GO:0043631, GO:0005634, GO:0006351
Gorai.001G025900.1	GO:0016779, GO:0003723, GO:0004652, GO:0043631, GO:0005634, GO:0006351
Gorai.001G026000.1	GO:0004672, GO:0005524, GO:0006468, GO:0005515
Gorai.001G026100.1	GO:0004176, GO:0006508
Gorai.001G026200.1	GO:0016616, GO:0055114, GO:0051287
Gorai.001G026300.1	GO:0004672, GO:0005524, GO:0006468
Gorai.001G026600.1	GO:0008234, GO:0006508
Gorai.001G026700.1	GO:0004672, GO:0005524, GO:0006468, GO:0005515
Gorai.001G026800.1	GO:0003700, GO:0043565, GO:0006355
Gorai.001G027100.1	GO:0003824, GO:0009116
Gorai.001G027500.1	GO:0008762, GO:0016491, GO:0050660, GO:0055114, GO:0003885, GO:0016020
Gorai.001G027800.1	GO:0016881
Gorai.001G027900.1	GO:0006886, GO:0005622
Gorai.001G028000.1	GO:0016740, GO:0030170, GO:0009058
Gorai.001G028100.1	GO:0016740, GO:0030170, GO:0009058
Gorai.001G028200.1	GO:0003677
Gorai.001G028400.1	GO:0003676
Gorai.001G028700.1	GO:0016021
Gorai.001G028800.1	GO:0003735, GO:0006412, GO:0005622, GO:0005840
Gorai.001G028900.1	GO:0004499, GO:0050660, GO:0050661, GO:0055114, GO:0016491
Gorai.001G029000.1	GO:0003677
Gorai.001G029400.1	GO:0005216, GO:0006811, GO:0055085, GO:0016020
Gorai.001G029600.1	GO:0016616, GO:0051287, GO:0046168, GO:0055114, GO:0005737, GO:0004616, GO:0006098, GO:0016491
Gorai.001G029700.1	GO:0008168, GO:0008152
Gorai.001G029900.1	GO:0003735, GO:0006412, GO:0005622, GO:0005840
Gorai.001G030000.1	GO:0004553, GO:0005975
Gorai.001G030100.1	GO:0004672, GO:0005524, GO:0006468, GO:0004553, GO:0005975
Gorai.001G030200.1	GO:0004672, GO:0005524, GO:0006468, GO:0004553, GO:0005975
Gorai.001G030300.1	GO:0004553, GO:0005975
Gorai.001G030400.1	GO:0004553, GO:0005975
Gorai.001G030600.1	GO:0000156, GO:0000160, GO:0006355, GO:0003677
Gorai.001G030800.1	GO:0008236, GO:0006508
Gorai.001G031100.1	GO:0005488
Gorai.001G031200.1	GO:0016192, GO:0016021
Gorai.001G031500.1	GO:0005634
Gorai.001G031700.1	GO:0016491, GO:0008152, GO:0055114
Gorai.001G032000.1	GO:0004672, GO:0005524, GO:0006468, GO:0007165
Gorai.001G032100.1	GO:0004672, GO:0005524, GO:0006468, GO:0005515
Gorai.001G032200.1	GO:0003700, GO:0043565, GO:0006355
Gorai.001G032300.1	GO:0004177, GO:0006508, GO:0005622
Gorai.001G032400.1	GO:0005525, GO:0006614, GO:0003924, GO:0005047, GO:0006184, GO:0006886, GO:0005785
Gorai.001G032600.1	GO:0004185, GO:0006508
Gorai.001G033000.1	GO:0005524
Gorai.001G033200.1	GO:0003700, GO:0006355
Gorai.001G033300.1	GO:0005515, GO:0003824, GO:0008152
Gorai.001G033400.1	GO:0005515
Gorai.001G033900.1	GO:0005543
Gorai.001G034000.1	GO:0005515
Gorai.001G034200.1	GO:0055085
Gorai.001G034600.1	GO:0005515, GO:0035091, GO:0007154
Gorai.001G034900.1	GO:0016597, GO:0008152
Gorai.001G035000.1	GO:0016020
Gorai.001G035300.1	GO:0005515
Gorai.001G035700.1	GO:0003700, GO:0043565, GO:0006355, GO:0003677, GO:0005634
Gorai.001G035800.1	GO:0015078, GO:0015986, GO:0045263
Gorai.001G036400.1	GO:0004672, GO:0005524, GO:0006468
Gorai.001G036500.1	GO:0003700, GO:0006355
Gorai.001G036800.1	GO:0004672, GO:0005524, GO:0006468
Gorai.001G036900.1	GO:0003677, GO:0005524, GO:0003676, GO:0004386, GO:0005515, GO:0016787, GO:0008270, GO:0016818, GO:0006355, GO:0005634
Gorai.001G037000.1	GO:0005634
Gorai.001G037100.1	GO:0016020
Gorai.001G037500.1	GO:0005515, GO:0006355, GO:0005634
Gorai.001G037600.1	GO:0004672, GO:0005524, GO:0006468, GO:0007165
Gorai.001G037700.1	GO:0003700, GO:0043565, GO:0006355
Gorai.001G037800.1	GO:0003700, GO:0043565, GO:0006355
Gorai.001G037900.1	GO:0003677, GO:0003899, GO:0006351
Gorai.001G038000.1	GO:0003824, GO:0008152
Gorai.001G038200.1	GO:0005515, GO:0004871, GO:0009416
Gorai.001G038300.1	GO:0005507, GO:0009055
Gorai.001G038400.1	GO:0003824
Gorai.001G038600.1	GO:0004602, GO:0006979, GO:0055114, GO:0016209, GO:0016491
Gorai.001G038700.1	GO:0004221, GO:0006511, GO:0008270
Gorai.001G038800.1	GO:0007049
Gorai.001G039100.1	GO:0016758, GO:0030246, GO:0005975, GO:0030259, GO:0009247
Gorai.001G039200.1	GO:0004601, GO:0020037, GO:0006979, GO:0055114
Gorai.001G039500.1	GO:0005515
Gorai.001G039800.1	GO:0006352, GO:0005634
Gorai.001G039900.1	GO:0004970, GO:0005234, GO:0016020, GO:0005215, GO:0006810, GO:0030288
Gorai.001G040000.1	GO:0016846
Gorai.001G040200.1	GO:0004221, GO:0006511, GO:0008270
Gorai.001G040300.1	GO:0003677, GO:0006355
Gorai.001G040400.1	GO:0055085
Gorai.001G040700.1	GO:0003676, GO:0008270
